
,SI,NEW DESCRIPTION,Comments,Contract,QTY,Remarks
,P394659,Site Survey - Survey Existing (GF RT),Site Survey,_-* 400000_-,1,Ordered per cluster
,P394660,Site survey macro site add aerial,,_-* 100000_-,1,
,P401496,	MN Local Transport. up to 50km 3.5t/16m3,first 50km,_-* 526800_-,1,Assuming 200km distance
,P582929,	MN Local Transport. ADD. 50km 3.5t/16m3,additional 50km,_-* 135000_-,3,
,P517294,Radio Access Installation - Type 1,New Installation Flexi MR‐FL--  1SM+1RFM,_-* 1350000_-,,
,P520569,Radio Access Installation - Type 2A,New Installation Flexi MR‐FL--  1SM+2RFM,_-* 1470000_-,,
,P656499,"I BS, 3 RRH/RFM/MAA - Tower",New Installation Flexi MR‐FL--  1SM+3RFM,_-* 1590000_-,1,
,P520570,Radio Access Installation - Type 3A,New Installation Flexi MR‐FL--  1SM+4RFM,_-* 1710000_-,,
,P517296,Radio Access Installation - Type 3,New Installation Flexi MR‐FL--  1SM+5RFM,_-* 2145000_-,,
,P656500,"I BS, 6 RRH/RFM/MAA - Tower",New Installation Flexi MR‐FL--  1SM+6RFM,_-* 2265000_-,,
,P517297,Radio Access Installation - Type 4,New Installation Flexi MR‐FL--  1SM+7RFM,_-* 2385000_-,,
,P401547,I BS RRH/RFM - Tower,Implement 1RFM incremental (tower),_-* 120000_-,,
,P401546,I AirScale BS RRH - Ground,Implement 1RFM incremental (ground),_-* 92720_-,,
,P401529,I AirScale BS system module indoor,1 SM Incremental,_-* 73200_-,,
,P517294,Radio Access Installation - Type 1,Impl 1SM1MAA  (integrated antenna),_-* 1350000_-,,
,"P443032
",I AirScale MAA - Tower/I AirScale BS system module indoor,Impl 1SM3MAA  (integrated antenna),_-* 1590000_-,,
,P401581,I GPS antenna,Impl GPS Kit,_-* 58560_-,,
,P454340,Removal BS macro outdoor,Remove Existing BTS (1SM+RRH  up to 6 RRH),_-* 800000_-,,
,P441413,I panel antenna up to 4m - Tower,Imp Single Antenna (LTE/Tri-band/etc),_-* 102487_-,3,
,P537817,TI RAN Rigging Extra Work Small WP add,Rem Single Antenna,_-* 84000_-,,
,P401520,I Flexi BS outdoor cab,Installation of FCOA cabinet - Outdoor,_-* 250000_-,,
,P520567,Radio Access Installation - Type 1A,Impl 1RFM Stand alone (Tower top),_-* 423000_-,,
,P544266,TI RAN Inst Extra Work Mini WP add type3 - implementing 1 SM standalone,Impl 1 SM standalone ,_-* 416000_-,,
,P394661,"Site survey indoor site, medium","Site survey indoor site, medium - BSC/RNC ",_-* 450000_-,,
,P517303,Radio Controller Installation (BSC/RNC),Implementation of BSC/RNC,_-* 3000000_-,,
,P454358,Removal controller cabinet,Remove existing BSC/RNC ,_-* 1500000_-,,
,P534366,TI RAN Inst Extra Work Small WP basic - Implementation of Megamon,Implementation of Megamon ,_-* 92720_-,,
,P520574,"Removal RRH, RFM or Antennas",Removal 1RFM,_-* 84000_-,,
,P537816,TI RAN Inst Extra Work Small WP add - System module swap,System Module Swap,_-* 146000_-,,
,P403240,I rack,Rack installation 43U,_-* 445000_-,,
,P537810,Rem Rack,Rack recovery,_-* 238200_-,,
,P517299,	Radio Access onsite Commissioning,,_-* 113875_-,1,
,P517300,	Radio Access onsite support Integration,,_-* 91100_-,1,
,P517301,	Radio Access Testing/Acceptance - Type 1,,_-* 159425_-,1,
,P529759,Onsite PnP BTS configuration,,_-* 91100_-,,
,,,,_-* 3693662_-,
