
,Product ID Product No,Product Description,Unit,Contracted,QTY
,P394656,Basic Line of Sight TRS,Per Link,_-* 750000_-,1
,P394659,Site Survey TI w/o aerial,Per Site,_-* 250000_-,1
,P394660,Site survey macro site add aerial,Per Site,_-* 50000_-,1
,P401496,MN Local Transport. up to 50km 3.5t/16m3,Per Link,_-* 526800_-,1
,P582929,MN Local Transport. ADD. 50km 3.5t/16m3,Per Link,_-* 135000_-,3
,P655184,I MW-link 2 IDU + 2 ODU wo antenna,Per Link,_-* 1342000_-,
,P655190,I MW-link 2 IDU + 4 ODU wo antenna,Per Link,_-* 1643000_-,1,,
,P655191,I MW-link 2 IDU + 6 ODU wo antenna,Per Link,_-* 2093500_-,,,
,P655192,I MW-link 2 IDU + 8 ODU wo antenna,Per Link,_-* 2419000_-,,,
,P394577,I antenna up to 3m,Per Antenna,_-* 1469666_-,,,
,P394578,"I antenna up to 2,4m",Per Antenna,_-* 1100000_-,,,
,P394579,"I antenna up to 1,8m",Per Antenna,_-* 900000_-,,,
,P394580,"I antenna up to 1,2m",Per Antenna,_-* 400000_-,2,,
,P394581,"I antenna up to 0,6m",Per Antenna,_-* 173320_-,,,
,P401489,Rem antenna up to 3m,Per Antenna,_-* 965000_-,,,
,P401490,"Rem antenna up to 2,4m",Per Antenna,_-* 765000_-,,,
,P401491,"Rem antenna up to 1,8m",Per Antenna,_-* 544000_-,,,
,P401492,"Rem antenna up to 1,2m",Per Antenna,_-* 266000_-,,,
,P401493,"Rem antenna up to 0,6m",Per Antenna,_-* 120000_-,,,
,P394620,On site Trafic Cutover,Per Link,_-* 200000_-,,,
,P520582,Xhaul onsite link Commissioning per site,Per Site,_-* 84000_-,2,,
,P520583,Xhaul onsite support Integration,Per Site,_-* 70000_-,2,,
,P520584,Xhaul Local Link Acceptance per site,Per Site,_-* 140000_-,2,,
,P655197,Removal MW-link 2 IDU + 2 ODU wo antenna,Per Link,_-* 535000_-,,,
,P655198,Removal MW-link 2 IDU + 4 ODU wo antenna,Per Link,_-* 715200_-,,,
,P655199,Removal MW-link 2 IDU + 6 ODU wo antenna,Per Link,_-* 775000_-,,,
,P655200,Removal MW-link 2 IDU + 8 ODU wo antenna,Per Link,_-* 835000_-,,,
,P548916,MN Packing Service - bubble wrap,Per Link,_-* 138120_-,,,
,P403240,I rack,Per Site,_-* 435000_-,,,
,P394563,IC MW ODU,Per ODU,_-* 145000_-,,,
,P394598,Rem ODU,Per ODU,_-* 85000_-,,,
,P520581,Xhaul Basic field Commissioning per site,Per Site,_-* 84000_-,,,
,P540638,Travel - X-Haul team,Per Link,_-* 570000_-,,,
,P401480,Rem Long Haul Rack,Per Site,_-* 242000_-,,,
,,,,_-* 5012800_-,
